병원ID,병원명,전화번호,주소,위도,경도,삭제 여부,장소 id
58,잠실삼성정신건강의학과의원,02-423-7466,"서울특별시 송파구 올림픽로 212, 2층 210호 (잠실동, 갤러리아팰리스)",37.5111896,127.0939713,0,
59,해솔정신건강의학과의원,02-414-7755,"서울특별시 송파구 삼전로 84, 7층 (삼전동)",37.5058328,127.0897031,0,
60,화인정신건강의학과의원,452-7205,"서울특별시 광진구 광나루로56길 63, 프라임프라자 305호 (구의동)",37.5367895,127.096155,0,
61,송파삼성정신건강의학과의원,02-2203-7582,"서울특별시 송파구 올림픽로 145, 리센츠 5층 5b19호 (잠실동)",37.5119636,127.0870103,0,
62,이정신건강의학과의원,02-425-2267,"서울특별시 송파구 석촌호수로 61, 5층 511일부 호 (잠실동, 트리지움)",37.5107806,127.0861952,0,
63,온유정신건강의학과의원,02-416-0175,"서울특별시 송파구 석촌호수로 58, 동신빌딩 2층 1호 (잠실동)",37.5110976,127.085466,0,
64,서울우리아이정신건강의학과의원,02-452-2100,"서울특별시 광진구 강변역로4길 10, 4층 (구의동, 강변역지너스타워)",37.5353487,127.093421,0,
65,성모라이프정신건강의학과의원,02-457-0550,"서울특별시 광진구 광나루로 604, 진넥스 베르디엠 201호 (구의동)",37.5415877,127.0949441,0,
66,디딤정신과의원,02-6289-1133,"서울특별시 송파구 올림픽로 119, (잠실동, 파인애플상가 4B 29호)",37.5120894,127.0842018,0,
67,지음정신건강의학과의원,02-421-1136,"서울특별시 송파구 올림픽로 116-1, 신원빌딩 5층 (잠실동)",37.5113945,127.0836429,0,
68,한음한방신경정신과한의원,02-6925-1075,"서울특별시 송파구 올림픽로 116-1, 9층 (잠실동, 신원빌딩)",37.5113945,127.0836429,0,
69,다미신경정신과의원,02-419-0152,"서울특별시 송파구 올림픽로 116, 4층 (잠실동)",37.5113865,127.0834983,0,
70,서울탑정신건강의학과의원,412-8275,"서울특별시 송파구 올림픽로 114, (잠실동, 서경빌딩 5층)",37.5113949,127.083202,0,
71,연세소울정신건강의학과의원,02-418-7522,"서울특별시 송파구 올림픽로 108, (잠실동, 8층)",37.5114317,127.0827828,0,
72,서울뜰정신건강의학과의원,02-2202-0675,"서울특별시 송파구 올림픽로 106, 상록빌딩 5층 일부호 (잠실동)",37.5114019,127.0825724,0,
73,이지브레인송파 정신건강의학과의원,02-2202-1075,"서울특별시 송파구 올림픽로 102, 서일빌딩 6층 603호 (잠실동)",37.5114327,127.0819814,0,
74,봄정신건강의학과의원,02-419-1800,"서울특별시 송파구 올림픽로 100, 6층 (잠실동, 효창타워)",37.5114163,127.0816891,0,
75,신석호정신과의원,02-2226-2231,"서울특별시 강남구 개포로 615, 201-1호, 308호 (개포동)",37.4926645,127.0756013,0,
76,김문엽정신건강의학과의원,3437-2132,"서울특별시 광진구 아차산로 431, 상가1-205호 (구의동, 강변에스케이뷰)",37.5388188,127.0901204,0,
77,구의연세정신건강의학과의원,02-2201-5757,"서울특별시 광진구 자양로 95, (자양동)",37.5362295,127.0832168,0,
78,서동수위드어스정신건강의학과의원,02-576-0691,"서울특별시 서초구 헌릉로 176, 서울영동농협종합시설 4층 403~405호 (내곡동)",37.4566068,127.0595071,0,
79,유지민정신건강의학과의원,02-452-2030,"서울특별시 광진구 자양로 109, 202호 (자양동, 구의현대홈시티)",37.537441,127.083137,0,
80,연세소담정신건강의학과의원,02-451-8275,"서울특별시 강남구 개포로 504, 메트하임 502, 504호 (개포동)",37.4890546,127.0671869,0,
81,나눔정신건강의학과의원,02-445-5575,"서울특별시 강남구 삼성로 38, 개포빌딩 4층 403호 (개포동)",37.4886965,127.0668591,0,
82,동서울정신건강의학과의원,02-446-1172,"서울특별시 광진구 자양로 186-1, 1층 (구의동)",37.5441601,127.0851866,0,
83,정다운정신건강의학과의원,02-6956-8905,"서울특별시 강남구 선릉로 30, 개포빌딩 202-1호 (개포동)",37.4825263,127.0611928,0,
84,하나정신과의원,02-555-6018,"서울특별시 강남구 남부순환로 2941, 4층 (대치동)",37.4942695,127.0619463,0,
85,연세카리스정신건강의학과의원,02-561-3343,"서울특별시 강남구 영동대로86길 11, 승원산업사 5층 (대치동)",37.5080821,127.0650633,0,
86,대치마음정신건강의학과의원,02-555-4607,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 3층 301호 (대치동)",37.4936881,127.0603918,0,
87,국립정신건강센터,02-2204-0114,"서울특별시 광진구 용마산로 127, (중곡동, 국립정신건강센터)",37.5650897,127.0856522,0,
88,개포숲정신건강의학과의원,02-6180-0500,"서울특별시 강남구 언주로7길 6, 207,208,212호 (개포동, 개포자이르네)",37.4785583,127.055481,0,
89,삼성마음숲정신건강의학과의원,,"서울특별시 강남구 영동대로85길 7, 5층 (대치동)",37.5071422,127.0631027,0,
90,전재진정신건강의학과의원,02-456-7482,"서울특별시 광진구 긴고랑로 64, 2,3,4층 (중곡동)",37.5617284,127.0829734,0,
91,푸른마음정신과의원,3436-1675,"서울특별시 광진구 능동로50길 8, 3,4,5층 (중곡동)",37.5639346,127.0838144,0,
92,문경서정신건강의학과의원,02-458-8811,"서울특별시 광진구 능동로 390, (중곡동)",37.5638347,127.0834249,0,
93,조광신경정신과의원,02-467-2323,"서울특별시 광진구 능동로 380, (중곡동,(2,3,4층))",37.5631013,127.0829885,0,
94,조근호정신건강의학과의원,02-2201-2900,"서울특별시 광진구 천호대로 559, 아스하임 501호 (중곡동)",37.5572903,127.0805099,0,
95,동화정신건강의학과의원,02-466-5238,"서울특별시 광진구 능동로 385-1, (중곡동)",37.5638302,127.0828824,0,
96,Dr. 고 신경정신과의원,02-467-6247,"서울특별시 광진구 능동로 324, 3층 (중곡동)",37.5583953,127.0804054,0,
97,연세유앤김정신과의원,02-501-0675,"서울특별시 강남구 테헤란로 528, 6층 (대치동, 슈페리어타워)",37.508102,127.0620152,0,
98,마음담은정신건강의학과의원,02-2038-3070,"서울특별시 중랑구 사가정로 401, 창대빌딩 5층 (면목동)",37.5808499,127.0894768,0,
99,더쉼한방신경정신과한의원,02-553-0199,"서울특별시 강남구 남부순환로 2912, 그랑프리엔 204호 (대치동)",37.49071,127.0561424,0,
100,유앤문정신건강의학과의원,,"서울특별시 강남구 영동대로85길 34, 대치2차 아이파크 2층 208호 (대치동)",37.5068334,127.0608856,0,
101,연세홍정신건강의학과의원,02-433-0351,"서울특별시 중랑구 사가정로 398, JS빌딩 5층 501호 (면목동)",37.5802856,127.0888289,0,
102,열린마음정신건강의학과의원,02-3437-3441,"서울특별시 광진구 능동로 259, 성운빌딩 4층 (군자동)",37.5533474,127.0770981,0,
103,서울탑클래스정신건강의학과의원,02-6339-1009,"서울특별시 강남구 테헤란로88길 17, 세안빌딩 6층 (대치동)",37.5065588,127.0603142,0,
104,연세삼성정신건강의학과의원,02-565-0086,"서울특별시 강남구 테헤란로 514, 삼흥2빌딩 12층 (대치동)",37.5074386,127.0597679,0,
105,성모누리정신건강의학과의원,02-6952-5222,"서울특별시 중랑구 면목로 299, 3층 (면목동)",37.5792512,127.0867492,0,
106,아이두정신건강의학과의원,02-2038-3388,"서울특별시 광진구 능동로 117, 4층 (화양동)",37.5415972,127.0711477,0,
107,이종일정신건강의학과의원,02-2209-2209,"서울특별시 중랑구 사가정로 384, 501호 (면목동)",37.5805409,127.0872074,0,
108,아이나래 정신건강의학과의원,02-554-2999,"서울특별시 강남구 도곡로 408, 디마크 빌딩 406호 (대치동)",37.4966282,127.05525,0,
109,가온정신건강의학과의원,02-464-6051,"서울특별시 광진구 아차산로 237, 삼진빌딩 4층 401호 (화양동)",37.5405026,127.0697556,0,
110,소민정신건강의학과의원,02-548-0868,"서울특별시 강남구 영동대로 602, 3층 304호 (삼성동, 삼성동미켈란107)",37.5146991,127.0606013,0,
111,성모정신건강의학과의원,02-558-6100,"서울특별시 강남구 테헤란로87길 13, 6층 (삼성동)",37.5086361,127.0586131,0,
112,연세휴정신건강의학과의원,02-556-0990,"서울특별시 강남구 도곡로 409, 503호 (대치동, 타워엠프리스)",37.4974014,127.055172,0,
113,우나영정신건강의학과의원,02-2248-4860,"서울특별시 강남구 테헤란로87길 17, 마젤란 21 아스테리움205호 (삼성동)",37.5087249,127.0582844,0,
114,해들정신건강의학과의원,02-465-0300,"서울특별시 광진구 아차산로 229, 한림타워 4층 404호 (화양동)",37.5408305,127.0690816,0,
115,청담율정신건강의학과의원,02-568-6799,"서울특별시 강남구 테헤란로87길 25, 2층 (삼성동)",37.5094541,127.0582415,0,
116,유범희정신건강의학과의원,578-2014,"서울특별시 강남구 언주로30길 21, (도곡동, 아카데미스위트)",37.4889018,127.0520107,0,
117,로뎀정신과의원,02-556-4113,"서울특별시 강남구 삼성로96길 27, 401호 (삼성동, 진솔빌딩)",37.5093477,127.0579664,0,
118,잘듣는정신의학과의원,02-498-7582,"서울특별시 광진구 광나루로 369, 2층 203호 (군자동, 광진두산위브파크)",37.5484493,127.0709551,0,
119,굿모닝정신과의원,02-466-3575,"서울특별시 광진구 아차산로 220, 203호 (자양동)",37.5406399,127.0676643,0,
120,연세맑음정신건강의학과의원,02-554-9190,"서울특별시 강남구 선릉로62길 7, 경산빌딩 4층 (대치동)",37.4973787,127.0532083,0,
121,이한정신건강의학과의원,02-565-1333,"서울특별시 강남구 선릉로 311, 한티빌딩 305호 (역삼동)",37.4973384,127.052077,0,
122,건대하늘정신건강의학과의원,02-463-1331,"서울특별시 광진구 아차산로 207, 2층 (화양동)",37.5415244,127.0667446,0,
123,마인드닥터주니어정신건강의학과의원,02-432-9993,"서울특별시 중랑구 망우로 353, C동 301호 (상봉동, 현대이노시티)",37.5982973,127.0903644,0,
124,변영돈신경정신과의원,02-563-9937,"서울특별시 강남구 선릉로 340, 대치 EM 프라자 405호 (대치동)",37.5002261,127.0514679,0,
125,세화정신건강의학과의원,02-439-5522,"서울특별시 중랑구 면목로 456, 한성빌딩 3층 (면목동)",37.5925729,127.0869092,0,
126,연세자람정신건강의학과의원,02-501-0750,"서울특별시 강남구 도곡로51길 4, 역삼프라자 2층 (역삼동)",37.4955617,127.0498175,0,
127,예솜정신건강의학과의원,02-6180-1255,"서울특별시 강남구 개포로 205, 양재빌딩 4층 401호 (개포동)",37.4785554,127.045124,0,
128,마인드힐링정신건강의학과의원,547-7500,"서울특별시 강남구 선릉로86길 17, 702호 (대치동, 선릉엠티빌딩)",37.5035623,127.05109,0,
129,선릉김정신과의원,02-563-6661,"서울특별시 강남구 테헤란로 410, (대치동, 금강타워 502호)",37.5045825,127.0507411,0,
130,서울윤정신건강의학과의원,02-433-9400,"서울특별시 중랑구 망우로 304, 2층 203호 (상봉동, 상봉베스트원아파트)",37.5961443,127.0863473,0,
131,마음투유정신건강의학과의원,02-576-2021,"서울특별시 서초구 강남대로 48-6, 한석빌딩 6층 (양재동)",37.4691346,127.0400425,0,
132,지음정신건강의학과의원,02-434-4345,"서울특별시 중랑구 면목로 495, 이레빌딩 701호 (상봉동)",37.5960575,127.0853429,0,
133,기린정신건강의학과의원,0507-324-1359,"서울특별시 강남구 봉은사로 474, 2층 203호 (삼성동, 쌍용 플래티넘)",37.5123688,127.0519533,0,
134,이유정신건강의학과의원,02-6954-7550,"서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 406,407호 (역삼동)",37.5034574,127.0491411,0,
135,현정신과의원,02-555-5303,"서울특별시 강남구 선릉로 431, 505호 (역삼동, 에스케이허브오피스텔)",37.5034574,127.0491411,0,
136,선릉숲정신건강의학과의원,02-555-0405,"서울특별시 강남구 테헤란로 401, 남경센타 6층, 8층 (삼성동)",37.5049841,127.0491606,0,
137,장홍석정신건강의학과의원,02-565-9889,"서울특별시 강남구 선릉로 510, 402호 (삼성동)",37.5051717,127.0489654,0,
138,연세채움정신건강의학과의원,02-568-2075,"서울특별시 강남구 테헤란로 339, 8층 (역삼동)",37.5048189,127.0486102,0,
139,선릉쉼표정신건강의학과의원,02-567-3575,"서울특별시 강남구 테헤란로 337, 15층 (역삼동)",37.5047776,127.0484885,0,
140,전수연정신건강의학과의원,02-562-0711,"서울특별시 강남구 테헤란로 333, 신도벤처타워 11층 (역삼동)",37.5047001,127.048034,0,
141,삼성공감정신건강의학과의원,02-6956-1771,"서울특별시 강남구 테헤란로 328, 동우빌딩 4층 (역삼동)",37.5037151,127.0476984,0,
142,서울정신건강의학과의원,02-3453-8856,"서울특별시 강남구 선릉로 517, 비젼빌딩 602호 (역삼동)",37.5057184,127.0481651,0,
143,노명선정신건강의학과의원,02-6205-7400,"서울특별시 강남구 선릉로 523, (역삼동, 유림빌딩 3층일부)",37.5062066,127.0478192,0,
144,연세조이정신건강의학과의원,02-6951-0757,"서울특별시 강남구 테헤란로51길 10, 정다운빌딩 5층 502호 (역삼동)",37.5047812,127.0469996,0,
145,연세동행정신건강의학과의원,02-3394-7713,"서울특별시 동대문구 장한로25길 3, 7층 (장안동)",37.5716011,127.0709392,0,
146,정희진정신건강의학과의원,02-578-1714,"서울특별시 서초구 남부순환로 2652, 대명빌딩 4층 (양재동)",37.4852228,127.0408723,0,
147,청담삼성정신건강의학과의원,02-543-5493,"서울특별시 강남구 삼성로 651, 4층 408,409호 (삼성동, 래미안 라클래시)",37.5174649,127.0500124,0,
148,고정인정신건강의학과의원,02-569-8005,"서울특별시 강남구 테헤란로 313, 211~212호 (역삼동, 성아하이츠 1차)",37.5038082,127.045287,0,
149,장은진정신건강의학과의원,02-501-7751,"서울특별시 강남구 테헤란로 313, 209,210호 (역삼동, 성지하이츠1)",37.5038082,127.045287,0,
150,메티스정신과의원,02-564-7575,"서울특별시 강남구 언주로 413, 4층 (역삼동)",37.499841,127.0436165,0,
151,마음건축정신건강의학과의원,02-498-7542,"서울특별시 성동구 아차산로 126, 더리브 세종타워 203호 (성수동2가)",37.5434961,127.0580599,0,
152,최인광정신건강의학과의원,02-540-0671,"서울특별시 강남구 학동로 443, 301호 (청담동, 정한빌딩)",37.5189469,127.0493939,0,
153,한음한방신경정신과한의원,02-585-7510,"서울특별시 강남구 언주로98길 37, 한음빌딩 4층,5층 (역삼동)",37.5047361,127.0448435,0,
154,조은희정신건강의학과의원,02-2009-2567,"서울특별시 강남구 선릉로103길 5, 201호 (역삼동)",37.5074686,127.0454175,0,
155,레브린정신건강의학과의원,02-545-0657,"서울특별시 강남구 삼성로140길 6, 라파빌딩 2층 (청담동)",37.5210441,127.04969,0,
156,동심정신건강의학과의원,02-469-7373,"서울특별시 성동구 성수이로 113, 제강빌딩 6층 (성수동2가)",37.545153,127.0571368,0,
157,내일정신건강의학과의원,02-435-2580,"서울특별시 중랑구 망우로 214, 우도빌딩 5층 (상봉동)",37.593757,127.0766509,0,
158,연세손정신건강의학과의원,02-529-7599,"서울특별시 서초구 남부순환로 2614, 310호 (양재동, 한솔로이젠트)",37.4844777,127.0366827,0,
159,세림서울정신건강의학과의원,02-511-7570,"서울특별시 강남구 학동로 423, 207호 (청담동, 청우빌딩)",37.5184311,127.0466482,0,
160,김정일정신건강의학과의원,02-540-7576,"서울특별시 강남구 선릉로 603, 3층 (논현동)",37.5107792,127.0434777,0,
161,김상준정신건강의학과의원,02-434-9036,"서울특별시 중랑구 동일로 802, (중화동)",37.6020892,127.0797178,0,
162,이승민정신건강의학과의원,02-577-4745,"서울특별시 강남구 남부순환로 2615, 303호호 (도곡동, 극동스타클래스)",37.4851832,127.0358917,0,
163,벗이사는숲정신건강의학과의원,02-6956-7929,"서울특별시 강남구 남부순환로359길 30, 202호 (도곡동)",37.486695,127.036009,0,
164,양재삼성정신건강의학과의원,02-579-5726,"서울특별시 서초구 강남대로 224, 207호 (양재동, 양재한신휴플러스)",37.4840275,127.0351327,0,
165,최종배정신건강의학과의원,02-574-8883,"서울특별시 서초구 남부순환로350길 4, 301호 (양재동, 대진빌딩)",37.4843523,127.0352051,0,
166,홍정신건강의학과의원,02-568-0138,"서울특별시 강남구 학동로 411, 2층 204호 (청담동, 원일빌딩)",37.5181016,127.044728,0,
167,마음쉼정신건강의학과의원,02-6475-7575,"서울특별시 강남구 강남대로 238, 스카이쏠라빌딩 10층 (도곡동)",37.4849717,127.0347727,0,
168,행복정신건강의학과의원,02-577-7810,"서울특별시 강남구 강남대로 240, 양재SK허브프리모 2층 202호 (도곡동)",37.4852658,127.0344506,0,
169,이백정신건강의학과의원,02-511-3117,"서울특별시 강남구 선릉로 641, 우암빌딩 201호 (논현동)",37.5137633,127.0423077,0,
170,이인수정신건강의학과의원,02-517-7573,"서울특별시 강남구 압구정로73길 8, 3층 (청담동)",37.5265679,127.0465141,0,
171,강남숲정신건강의학과의원,,"서울특별시 강남구 논현로85길 7, 2층 (역삼동)",37.4989891,127.0368362,0,
172,서울더숲정신건강의학과의원,,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 5층 (역삼동)",37.4996461,127.0358567,0,
173,더맑은신경정신과의원,02-568-0680,"서울특별시 강남구 논현로 507, 301호 (역삼동, 성지하이츠3차빌딩)",37.5015847,127.0361824,0,
174,류한욱정신과의원,02-3014-9656,"서울특별시 강남구 학동로 342, (논현동, 301, 301-1호)",37.5167495,127.0408461,0,
175,빛날정신건강의학과의원,0507-1494-4545,"서울특별시 강남구 학동로 342, 에스케이 허브블루 210호 (논현동)",37.5167495,127.0408461,0,
176,마음과마음정신건강의학과의원,02-3472-9369,"서울특별시 서초구 강남대로39길 6-21, 2층 (서초동)",37.4869846,127.0319183,0,
177,서울알파정신건강의학과의원,02-555-7725,"서울특별시 강남구 논현로 511, 에이치에스빌딩 6층 (역삼동)",37.5022404,127.0360084,0,
178,강남연정신건강의학과의원,0507-1325-5572,"서울특별시 강남구 학동로 338, 101호 (논현동, 강남파라곤)",37.5165899,127.0402809,0,
179,서울포레스트정신건강의학과의원,02-6480-8777,"서울특별시 강남구 도산대로 420, 청담스퀘어 212호 (청담동)",37.5230216,127.0422013,0,
180,진심정신건강의학과의원,02-568-0005,"서울특별시 강남구 테헤란로 141, 703호 (역삼동, KR타워)",37.5005479,127.0346851,0,
181,서울나아가는정신건강의학과의원,02-6953-0706,"서울특별시 성동구 아차산로 49, 서울숲 코오롱디지털타워 Ⅲ 2층 204호 (성수동1가)",37.546822,127.0500492,0,
182,성모마음정신건강의학과의원,02-972-4300,"서울특별시 중랑구 동일로 903, 2~5층 (묵동)",37.6109117,127.0774023,0,
183,소정정신건강의학과의원,02-469-0900,"서울특별시 성동구 아차산로 42, 정명빌딩 8층 (성수동1가)",37.5464768,127.0490393,0,
184,서울대니엘정신건강의학과의원,02-462-7575,"서울특별시 성동구 뚝섬로 321-1, 2층 (성수동1가)",37.5411591,127.0468622,0,
185,서울숲봄정신건강의학과의원,02-6954-7503,"서울특별시 성동구 아차산로 41, 안동빌딩 2층 (성수동1가)",37.5469705,127.0489912,0,
186,성모힐정신건강의학과의원,02-2138-5568,"서울특별시 강남구 강남대로 328, 강남역 쉐르빌 2층 208,209호 (역삼동)",37.4924281,127.0309385,0,
187,오늘그린정신건강의학과의원,02-518-7972,"서울특별시 강남구 봉은사로 213, 센트럴타워 2층 (논현동)",37.5080467,127.0353978,0,
188,디에프정신건강의학과의원,02-6951-3305,"서울특별시 강남구 도산대로55길 52, 두성빌딩 2층 (청담동)",37.5267828,127.0413303,0,
189,마인드랩공간정신건강의학과의원,0507-1481-0608,"서울특별시 강남구 언주로130길 10, 지하2층 (논현동)",37.5147938,127.0363325,0,
